ip,domain,spider_type
13.66.144.33,msnbot-13-66-144-33.search.msn.com,Bing
13.66.144.34,msnbot-13-66-144-34.search.msn.com,Bing
13.66.144.35,msnbot-13-66-144-35.search.msn.com,Bing
13.66.144.36,msnbot-13-66-144-36.search.msn.com,Bing
13.66.144.37,msnbot-13-66-144-37.search.msn.com,Bing
13.66.144.38,msnbot-13-66-144-38.search.msn.com,Bing
13.66.144.39,msnbot-13-66-144-39.search.msn.com,Bing
13.66.144.40,msnbot-13-66-144-40.search.msn.com,Bing
13.66.144.41,msnbot-13-66-144-41.search.msn.com,Bing
13.66.144.42,msnbot-13-66-144-42.search.msn.com,Bing
13.66.144.43,msnbot-13-66-144-43.search.msn.com,Bing
13.66.144.44,msnbot-13-66-144-44.search.msn.com,Bing
13.66.144.45,msnbot-13-66-144-45.search.msn.com,Bing
13.66.144.46,msnbot-13-66-144-46.search.msn.com,Bing
13.66.144.47,msnbot-13-66-144-47.search.msn.com,Bing
13.66.144.48,msnbot-13-66-144-48.search.msn.com,Bing
13.66.144.49,msnbot-13-66-144-49.search.msn.com,Bing
13.66.144.50,msnbot-13-66-144-50.search.msn.com,Bing
13.66.144.51,msnbot-13-66-144-51.search.msn.com,Bing
13.66.144.52,msnbot-13-66-144-52.search.msn.com,Bing
13.66.144.53,msnbot-13-66-144-53.search.msn.com,Bing
13.66.144.54,msnbot-13-66-144-54.search.msn.com,Bing
13.66.144.55,msnbot-13-66-144-55.search.msn.com,Bing
13.66.144.56,msnbot-13-66-144-56.search.msn.com,Bing
13.66.144.57,msnbot-13-66-144-57.search.msn.com,Bing
13.66.144.58,msnbot-13-66-144-58.search.msn.com,Bing
13.66.144.59,msnbot-13-66-144-59.search.msn.com,Bing
13.66.144.60,msnbot-13-66-144-60.search.msn.com,Bing
13.66.144.61,msnbot-13-66-144-61.search.msn.com,Bing
13.66.144.62,msnbot-13-66-144-62.search.msn.com,Bing
13.66.144.63,msnbot-13-66-144-63.search.msn.com,Bing
13.66.144.64,msnbot-13-66-144-64.search.msn.com,Bing
13.66.144.65,msnbot-13-66-144-65.search.msn.com,Bing
13.66.144.66,msnbot-13-66-144-66.search.msn.com,Bing
13.66.144.67,msnbot-13-66-144-67.search.msn.com,Bing
13.66.144.68,msnbot-13-66-144-68.search.msn.com,Bing
13.66.144.69,msnbot-13-66-144-69.search.msn.com,Bing
13.66.144.70,msnbot-13-66-144-70.search.msn.com,Bing
13.66.144.71,msnbot-13-66-144-71.search.msn.com,Bing
13.66.144.72,msnbot-13-66-144-72.search.msn.com,Bing
13.66.144.73,msnbot-13-66-144-73.search.msn.com,Bing
13.66.144.74,msnbot-13-66-144-74.search.msn.com,Bing
13.66.144.75,msnbot-13-66-144-75.search.msn.com,Bing
13.66.144.76,msnbot-13-66-144-76.search.msn.com,Bing
13.66.144.77,msnbot-13-66-144-77.search.msn.com,Bing
13.66.144.78,msnbot-13-66-144-78.search.msn.com,Bing
13.66.144.79,msnbot-13-66-144-79.search.msn.com,Bing
13.66.144.80,msnbot-13-66-144-80.search.msn.com,Bing
13.66.144.81,msnbot-13-66-144-81.search.msn.com,Bing
13.66.144.82,msnbot-13-66-144-82.search.msn.com,Bing
13.66.144.83,msnbot-13-66-144-83.search.msn.com,Bing
13.66.144.84,msnbot-13-66-144-84.search.msn.com,Bing
13.66.144.85,msnbot-13-66-144-85.search.msn.com,Bing
13.66.144.86,msnbot-13-66-144-86.search.msn.com,Bing
13.66.144.87,msnbot-13-66-144-87.search.msn.com,Bing
13.66.144.88,msnbot-13-66-144-88.search.msn.com,Bing
13.66.144.89,msnbot-13-66-144-89.search.msn.com,Bing
13.66.144.90,msnbot-13-66-144-90.search.msn.com,Bing
13.66.144.91,msnbot-13-66-144-91.search.msn.com,Bing
13.66.144.92,msnbot-13-66-144-92.search.msn.com,Bing
13.66.144.93,msnbot-13-66-144-93.search.msn.com,Bing
13.66.144.94,msnbot-13-66-144-94.search.msn.com,Bing
13.66.144.95,msnbot-13-66-144-95.search.msn.com,Bing
13.66.144.96,msnbot-13-66-144-96.search.msn.com,Bing
13.66.144.97,msnbot-13-66-144-97.search.msn.com,Bing
13.66.144.98,msnbot-13-66-144-98.search.msn.com,Bing
13.66.144.99,msnbot-13-66-144-99.search.msn.com,Bing
13.66.144.100,msnbot-13-66-144-100.search.msn.com,Bing
13.66.144.101,msnbot-13-66-144-101.search.msn.com,Bing
13.66.144.102,msnbot-13-66-144-102.search.msn.com,Bing
13.66.144.103,msnbot-13-66-144-103.search.msn.com,Bing
13.66.144.104,msnbot-13-66-144-104.search.msn.com,Bing
13.66.144.105,msnbot-13-66-144-105.search.msn.com,Bing
13.66.144.106,msnbot-13-66-144-106.search.msn.com,Bing
13.66.144.107,msnbot-13-66-144-107.search.msn.com,Bing
13.66.144.108,msnbot-13-66-144-108.search.msn.com,Bing
13.66.144.109,msnbot-13-66-144-109.search.msn.com,Bing
13.66.144.110,msnbot-13-66-144-110.search.msn.com,Bing
13.66.144.111,msnbot-13-66-144-111.search.msn.com,Bing
13.66.144.112,msnbot-13-66-144-112.search.msn.com,Bing
13.66.144.113,msnbot-13-66-144-113.search.msn.com,Bing
13.66.144.114,msnbot-13-66-144-114.search.msn.com,Bing
13.66.144.115,msnbot-13-66-144-115.search.msn.com,Bing
13.66.144.116,msnbot-13-66-144-116.search.msn.com,Bing
13.66.144.117,msnbot-13-66-144-117.search.msn.com,Bing
13.66.144.118,msnbot-13-66-144-118.search.msn.com,Bing
13.66.144.119,msnbot-13-66-144-119.search.msn.com,Bing
13.66.144.120,msnbot-13-66-144-120.search.msn.com,Bing
13.66.144.121,msnbot-13-66-144-121.search.msn.com,Bing
13.66.144.122,msnbot-13-66-144-122.search.msn.com,Bing
13.66.144.123,msnbot-13-66-144-123.search.msn.com,Bing
13.66.144.124,msnbot-13-66-144-124.search.msn.com,Bing
13.66.144.125,msnbot-13-66-144-125.search.msn.com,Bing
13.66.144.126,msnbot-13-66-144-126.search.msn.com,Bing
13.66.144.127,msnbot-13-66-144-127.search.msn.com,Bing
13.66.144.128,msnbot-13-66-144-128.search.msn.com,Bing
13.66.144.129,msnbot-13-66-144-129.search.msn.com,Bing
13.66.144.130,msnbot-13-66-144-130.search.msn.com,Bing
13.66.144.131,msnbot-13-66-144-131.search.msn.com,Bing
13.66.144.132,msnbot-13-66-144-132.search.msn.com,Bing
13.66.144.133,msnbot-13-66-144-133.search.msn.com,Bing
13.66.144.134,msnbot-13-66-144-134.search.msn.com,Bing
13.66.144.135,msnbot-13-66-144-135.search.msn.com,Bing
13.66.144.136,msnbot-13-66-144-136.search.msn.com,Bing
13.66.144.137,msnbot-13-66-144-137.search.msn.com,Bing
13.66.144.138,msnbot-13-66-144-138.search.msn.com,Bing
13.66.144.139,msnbot-13-66-144-139.search.msn.com,Bing
13.66.144.140,msnbot-13-66-144-140.search.msn.com,Bing
